Name;BD BENCHMARK 2 YEAR DS GOVT. INDEX - RED. YIELD;GERMANY GOVERNMENT BOND 3 YEAR - RED. YIELD;BD BENCHMARK 5 YEAR DS GOVT. INDEX - RED. YIELD;GERMANY GOVERNMENT BOND 7 YEAR - RED. YIELD;BD BENCHMARK 10 YEAR DS GOVT. INDEX - RED. YIELD;GERMANY GOVERNMENT BOND 20 YEAR - RED. YIELD;GERMANY GOVERNMENT BOND 30 YEAR - RED. YIELD
01.01.1998;4,089;4,413;4,793;5,124;5,302;5,693;5,895
01.02.1998;3,827;4,119;4,537;4,844;5,048;5,475;5,658
01.03.1998;3,858;4,134;4,46;4,776;4,93;5,333;5,502
01.04.1998;4,047;4,279;4,551;4,801;4,923;5,286;5,502
01.05.1998;4,188;4,45;4,698;4,937;5,048;5,391;5,616
01.06.1998;3,986;4,246;4,504;4,731;4,875;5,255;5,454
01.07.1998;3,965;4,166;4,403;4,64;4,78;5,162;5,364
01.08.1998;3,887;4,126;4,34;4,571;4,617;5,051;5,25
01.09.1998;3,401;3,614;3,883;4,127;4,218;4,864;5,064
01.10.1998;3,297;3,462;3,568;3,824;3,791;4,515;4,782
01.11.1998;3,303;3,594;3,761;4,092;4,181;4,839;5,209
01.12.1998;3,257;3,373;3,5;3,877;3,94;4,581;4,823
01.01.1999;3,122;3,177;3,317;3,774;3,874;4,628;4,788
01.02.1999;2,886;3,052;3,157;3,542;3,644;4,368;4,582
01.03.1999;3,108;3,278;3,399;3,851;4,006;4,667;4,945
01.04.1999;2,845;3,149;3,187;3,783;3,982;4,65;4,958
01.05.1999;2,693;2,914;3,095;3,619;3,898;4,54;4,887
01.06.1999;2,841;3,108;3,369;3,872;4,173;4,842;5,15
01.07.1999;3,078;3,526;3,769;4,218;4,455;5,053;5,331
01.08.1999;3,479;3,994;4,327;4,696;4,939;5,473;5,67
01.09.1999;3,485;3,946;4,358;4,726;4,939;5,459;5,69
01.10.1999;3,765;4,268;4,499;4,916;5,14;5,554;5,775
01.11.1999;3,927;4,425;4,671;5,092;5,162;5,511;5,746
01.12.1999;3,986;4,433;4,638;5,042;5,136;5,437;5,765
01.01.2000;4,255;4,651;4,849;5,242;5,391;5,673;5,986
01.02.2000;4,368;4,775;5,045;5,439;5,505;5,739;5,965
01.03.2000;4,421;4,786;5,08;5,397;5,489;5,677;5,845
01.04.2000;4,441;4,645;4,861;5,158;5,219;5,42;5,596
01.05.2000;4,593;4,812;5,005;5,28;5,323;5,517;5,643
01.06.2000;4,952;5,043;5,05;5,251;5,169;5,42;5,351
01.07.2000;4,988;5,152;5,074;5,309;5,274;5,537;5,495
01.08.2000;5,084;5,112;5,122;5,234;5,182;5,406;5,36
01.09.2000;5,171;5,266;5,2;5,332;5,264;5,369;5,418
01.10.2000;4,996;5,096;5,041;5,212;5,229;5,368;5,578
01.11.2000;5,043;5,066;5,067;5,183;5,21;5,353;5,592
01.12.2000;4,834;4,844;4,833;4,969;4,996;5,184;5,403
01.01.2001;4,472;4,502;4,516;4,767;4,848;5,114;5,373
01.02.2001;4,358;4,406;4,498;4,665;4,791;5,057;5,325
01.03.2001;4,387;4,363;4,493;4,604;4,747;5,362;5,3
01.04.2001;4,144;4,168;4,331;4,504;4,715;5,375;5,338
01.05.2001;4,627;4,708;4,752;4,876;5,036;5,595;5,544
01.06.2001;4,312;4,504;4,625;4,967;5,071;5,719;5,664
01.07.2001;4,247;4,406;4,57;4,879;5,094;5,73;5,678
01.08.2001;4,13;4,415;4,419;4,695;4,906;5,526;5,478
01.09.2001;3,931;3,979;4,181;4,548;4,787;5,469;5,411
01.10.2001;3,494;3,642;4,052;4,44;4,767;5,544;5,523
01.11.2001;3,097;3,319;3,682;4,014;4,276;4,889;4,876
01.12.2001;3,365;3,583;3,985;4,345;4,517;5,101;5,049
01.01.2002;3,623;4,043;4,368;4,741;4,938;5,385;5,339
01.02.2002;3,878;4,226;4,466;4,794;4,876;5,273;5,224
01.03.2002;3,909;4,135;4,588;4,784;5,011;5,358;5,303
01.04.2002;4,296;4,492;4,896;5,068;5,243;5,586;5,538
01.05.2002;4,048;4,337;4,696;4,993;5,122;5,543;5,5
01.06.2002;4,255;4,435;4,794;5,007;5,163;5,516;5,516
01.07.2002;3,917;4,234;4,507;4,802;4,972;5,346;5,298
01.08.2002;3,544;3,89;4,13;4,519;4,694;5,212;5,153
01.09.2002;3,39;3,627;3,962;4,271;4,501;4,996;4,956
01.10.2002;3,056;3,244;3,612;3,971;4,297;4,912;4,901
01.11.2002;3,099;3,293;3,81;4,136;4,558;5,071;5,086
01.12.2002;3,093;3,503;3,818;4,188;4,516;5,066;5,106
01.01.2003;2,735;3,076;3,393;3,9;4,195;4,814;4,859
01.02.2003;2,591;2,907;3,256;3,745;4,07;4,698;4,743
01.03.2003;2,265;2,553;3,023;3,475;3,892;4,616;4,716
01.04.2003;2,382;2,689;3,233;3,615;4,042;4,732;4,813
01.05.2003;2,424;2,783;3,278;3,805;4,098;4,832;4,885
01.06.2003;2,109;2,372;2,892;3,39;3,75;4,507;4,604
01.07.2003;2,07;2,309;2,898;3,407;3,796;4,591;4,732
01.08.2003;2,542;2,843;3,443;3,856;4,138;4,829;4,939
01.09.2003;2,587;2,999;3,446;3,86;4,205;4,792;4,886
01.10.2003;2,274;2,626;3,064;3,571;3,983;4,699;4,826
01.11.2003;2,74;3,03;3,677;4,066;4,379;4,913;5,015
01.12.2003;2,839;3,315;3,789;4,178;4,475;4,956;5,055
01.01.2004;2,606;3,033;3,496;3,954;4,284;4,809;4,94
01.02.2004;2,471;3,027;3,364;3,859;4,217;4,8;4,925
01.03.2004;2,223;2,636;3,115;3,626;4,052;4,683;4,832
01.04.2004;2,196;2,453;3,133;3,457;3,957;4,598;4,736
01.05.2004;2,411;2,972;3,381;3,848;4,146;4,758;4,893
01.06.2004;2,565;3,121;3,571;3,993;4,329;4,873;4,998
01.07.2004;2,598;3,138;3,563;3,984;4,318;4,807;4,931
01.08.2004;2,588;2,941;3,431;3,845;4,196;4,68;4,813
01.09.2004;2,415;2,794;3,316;3,646;4,035;4,541;4,684
01.10.2004;2,56;2,817;3,33;3,632;4,014;4,506;4,648
01.11.2004;2,402;2,761;3,148;3,56;3,862;4,404;4,558
01.12.2004;2,326;2,634;3,033;3,409;3,784;4,225;4,387
01.01.2005;2,457;2,699;2,988;3,344;3,63;4,093;4,263
01.02.2005;2,387;2,625;2,921;3,218;3,535;3,888;4,016
01.03.2005;2,464;2,754;3,073;3,398;3,73;4,072;4,183
01.04.2005;2,452;2,668;3,042;3,353;3,609;3,996;4,114
01.05.2005;2,236;2,425;2,788;3,183;3,401;3,896;3,963
01.06.2005;2,062;2,271;2,568;3,031;3,222;3,766;3,827
01.07.2005;2,047;2,151;2,505;2,87;3,147;3,621;3,687
01.08.2005;2,274;2,424;2,699;3,003;3,297;3,733;3,79
01.09.2005;2,122;2,248;2,472;2,756;3,056;3,491;3,551
01.10.2005;2,374;2,525;2,707;2,939;3,191;3,576;3,628
01.11.2005;2,62;2,785;2,95;3,231;3,421;3,762;3,807
01.12.2005;2,673;2,809;3,021;3,213;3,398;3,714;3,754
01.01.2006;2,889;2,947;3,097;3,215;3,335;3,587;3,615
01.02.2006;2,972;3,074;3,265;3,404;3,52;3,765;3,788
01.03.2006;3,017;3,095;3,274;3,399;3,51;3,749;3,743
01.04.2006;3,323;3,457;3,636;3,746;3,818;4,041;4,031
01.05.2006;3,371;3,531;3,74;3,85;3,958;4,192;4,196
01.06.2006;3,34;3,512;3,677;3,856;3,93;4,265;4,279
01.07.2006;3,547;3,67;3,851;3,977;4,085;4,315;4,321
01.08.2006;3,492;3,565;3,692;3,813;3,928;4,183;4,198
01.09.2006;3,503;3,516;3,568;3,648;3,734;3,978;3,986
01.10.2006;3,583;3,563;3,588;3,625;3,682;3,887;3,876
01.11.2006;3,64;3,612;3,636;3,659;3,7;3,83;3,802
01.12.2006;3,636;3,576;3,592;3,613;3,645;3,821;3,8
01.01.2007;3,857;3,88;3,921;3,934;3,946;4,098;4,075
01.02.2007;3,935;3,962;4,008;4,067;4,084;4,224;4,211
01.03.2007;3,85;3,863;3,901;3,944;3,95;4,105;4,086
01.04.2007;4,015;4,02;4,032;4,057;4,066;4,259;4,245
01.05.2007;4,108;4,11;4,122;4,143;4,148;4,338;4,312
01.06.2007;4,412;4,429;4,443;4,461;4,447;4,614;4,576
01.07.2007;4,403;4,441;4,467;4,504;4,507;4,671;4,635
01.08.2007;4,271;4,295;4,302;4,345;4,34;4,517;4,479
01.09.2007;4,025;4,07;4,135;4,213;4,264;4,558;4,523
01.10.2007;3,995;4,04;4,134;4,233;4,318;4,588;4,577
01.11.2007;3,983;4,052;4,074;4,143;4,205;4,475;4,474
01.12.2007;3,777;3,763;3,825;3,964;4,067;4,489;4,493
01.01.2008;3,961;4,036;4,118;4,213;4,328;4,615;4,6
01.02.2008;3,419;3,403;3,532;3,724;3,913;4,36;4,412
01.03.2008;3,238;3,143;3,354;3,569;3,843;4,398;4,427
01.04.2008;3,486;3,509;3,679;3,835;3,968;4,553;4,561
01.05.2008;3,749;3,71;3,869;4,025;4,116;4,623;4,611
01.06.2008;4,273;4,194;4,229;4,276;4,346;4,784;4,763
01.07.2008;4,488;4,584;4,634;4,621;4,621;4,924;4,846
01.08.2008;4,267;4,237;4,28;4,306;4,358;4,748;4,685
01.09.2008;4,031;3,938;4,009;4,038;4,126;4,571;4,539
01.10.2008;3,453;3,456;3,722;3,88;3,979;4,548;4,513
01.11.2008;2,516;2,666;3,15;3,507;3,828;4,53;4,346
01.12.2008;2,11;2,123;2,52;2,801;3,145;3,832;3,638
01.01.2009;1,74;1,848;2,314;2,644;2,941;3,729;3,574
01.02.2009;1,49;1,675;2,407;2,962;3,265;4,101;3,953
01.03.2009;1,211;1,522;2,118;2,667;3,033;3,986;3,815
01.04.2009;1,227;1,553;2,218;2,627;2,995;3,997;3,953
01.05.2009;1,353;1,662;2,363;2,802;3,186;4,049;3,977
01.06.2009;1,324;1,771;2,688;3,155;3,609;4,48;4,496
01.07.2009;1,349;1,721;2,489;2,937;3,404;4,257;4,243
01.08.2009;1,348;1,718;2,479;3,033;3,344;4,06;4,084
01.09.2009;1,188;1,79;2,334;2,838;3,241;3,962;3,951
01.10.2009;1,211;1,643;2,354;2,725;3,169;3,947;3,912
01.11.2009;1,29;1,686;2,409;2,86;3,233;4,027;3,993
01.12.2009;1,15;1,578;2,214;2,68;3,098;3,934;3,902
01.01.2010;1,323;1,629;2,426;2,898;3,383;4,102;4,098
01.02.2010;1,118;1,568;2,166;2,742;3,184;3,93;3,907
01.03.2010;0,848;1,305;2,127;2,602;3,108;3,859;3,859
01.04.2010;0,947;1,264;2,129;2,604;3,09;3,758;3,784
01.05.2010;0,804;1,113;2,005;2,489;3,005;3,664;3,72
01.06.2010;0,416;0,669;1,532;2,021;2,664;3,271;3,335
01.07.2010;0,666;0,753;1,479;1,957;2,569;3,181;3,248
01.08.2010;0,785;1,025;1,684;2,244;2,696;3,319;3,393
01.09.2010;0,534;0,762;1,261;1,762;2,184;2,737;2,758
01.10.2010;0,851;0,962;1,505;1,883;2,29;2,829;2,881
01.11.2010;0,97;1,147;1,671;2,115;2,471;2,975;2,966
01.12.2010;0,823;1,084;1,771;2,27;2,718;3,286;3,248
01.01.2011;0,801;1,139;1,797;2,473;2,918;3,48;3,403
01.02.2011;1,388;1,744;2,312;2,86;3,212;3,769;3,675
01.03.2011;1,428;1,772;2,423;2,806;3,185;3,724;3,631
01.04.2011;1,824;2,071;2,709;3,052;3,381;3,912;3,857
01.05.2011;1,804;2,063;2,636;2,916;3,218;3,782;3,736
01.06.2011;1,565;1,783;2,281;2,592;3,022;3,605;3,559
01.07.2011;1,641;1,75;2,286;2,592;3,024;3,698;3,736
01.08.2011;1,147;1,312;1,686;2,091;2,51;3,274;3,292
01.09.2011;0,633;0,784;1,238;1,647;2,167;3,023;3,049
01.10.2011;0,495;0,612;1,106;1,358;1,822;2,568;2,584
01.11.2011;0,452;0,559;0,993;1,32;1,807;2,676;2,627
01.12.2011;0,274;0,495;1,092;1,535;2,168;2,965;2,856
01.01.2012;0,188;0,323;0,802;1,245;1,881;2,552;2,466
01.02.2012;0,174;0,263;0,712;1,125;1,832;2,553;2,497
01.03.2012;0,187;0,325;0,838;1,255;1,852;2,548;2,49
01.04.2012;0,219;0,342;0,816;1,241;1,814;2,532;2,481
01.05.2012;0,11;0,183;0,627;1,009;1,604;2,413;2,374
01.06.2012;-0,003;0,052;0,331;0,629;1,171;1,751;1,699
01.07.2012;0,103;0,182;0,579;0,918;1,542;2,255;2,308
01.08.2012;-0,058;-0,001;0,347;0,701;1,361;2,034;2,16
01.09.2012;-0,049;0,009;0,341;0,801;1,357;2,003;2,096
01.10.2012;0,032;0,096;0,54;0,879;1,463;2,13;2,232
01.11.2012;0,021;0,077;0,492;0,851;1,47;2,129;2,255
01.12.2012;0,029;0,074;0,427;0,784;1,405;2,121;2,268
01.01.2013;-0,017;0,004;0,291;0,648;1,308;1,975;2,116
01.02.2013;0,238;0,309;0,652;0,983;1,675;2,236;2,363
01.03.2013;0,037;0,087;0,41;0,767;1,417;2,107;2,242
01.04.2013;-0,018;0,024;0,308;0,611;1,289;2,005;2,179
01.05.2013;0,029;0,049;0,334;0,571;1,21;1,898;2,062
01.06.2013;0,097;0,175;0,526;0,824;1,536;2,181;2,352
01.07.2013;0,185;0,291;0,72;1,031;1,716;2,312;2,451
01.08.2013;0,125;0,219;0,632;0,941;1,647;2,301;2,423
01.09.2013;0,265;0,396;0,875;1,296;1,909;2,548;2,663
01.10.2013;0,172;0,269;0,818;1,096;1,803;2,456;2,6
01.11.2013;0,117;0,199;0,665;1,04;1,693;2,417;2,601
01.12.2013;0,113;0,208;0,684;1,066;1,741;2,459;2,625
01.01.2014;0,198;0,33;0,926;1,304;1,941;2,608;2,747
01.02.2014;0,078;0,14;0,656;0,926;1,556;2,277;2,467
01.03.2014;0,116;0,149;0,612;0,955;1,562;2,208;2,406
01.04.2014;0,185;0,243;0,65;0,973;1,58;2,239;2,429
01.05.2014;0,146;0,199;0,553;0,877;1,47;2,121;2,323
01.06.2014;0,062;0,102;0,436;0,712;1,367;2,01;2,237
01.07.2014;0,025;0,052;0,339;0,6;1,249;1,917;2,159
01.08.2014;0,024;0,038;0,299;0,53;1,139;1,757;2,02
01.09.2014;-0,043;-0,024;0,162;0,409;0,884;1,613;1,749
01.10.2014;-0,067;-0,063;0,127;0,353;0,857;1,629;1,802
01.11.2014;-0,041;-0,031;0,146;0,379;0,858;1,549;1,754
01.12.2014;-0,022;-0,009;0,143;0,302;0,729;1,399;1,592
01.01.2015;-0,081;-0,083;0,013;0,144;0,541;1,149;1,355
01.02.2015;-0,171;-0,178;-0,088;0,046;0,314;0,687;0,881
01.03.2015;-0,195;-0,204;-0,114;0,04;0,354;0,824;0,987
01.04.2015;-0,244;-0,224;-0,1;-0,027;0,17;0,472;0,574
01.05.2015;-0,213;-0,167;0,008;0,118;0,363;0,698;0,83
01.06.2015;-0,219;-0,189;0,021;0,164;0,529;0,978;1,099
01.07.2015;-0,252;-0,206;0,117;0,332;0,82;1,477;1,629
01.08.2015;-0,243;-0,243;-0,007;0,16;0,634;1,11;1,283
01.09.2015;-0,212;-0,14;0,078;0,284;0,802;1,29;1,478
01.10.2015;-0,262;-0,234;-0,09;0,152;0,541;1,053;1,249
01.11.2015;-0,303;-0,277;-0,058;0,133;0,562;1,075;1,261
01.12.2015;-0,429;-0,404;-0,197;-0,021;0,469;1,074;1,304
01.01.2016;-0,336;-0,297;-0,038;0,172;0,634;1,236;1,441
01.02.2016;-0,451;-0,421;-0,28;-0,109;0,358;0,846;1,047
01.03.2016;-0,55;-0,534;-0,384;-0,286;0,151;0,643;0,869
01.04.2016;-0,475;-0,477;-0,326;-0,212;0,144;0,558;0,765
01.05.2016;-0,465;-0,463;-0,28;-0,117;0,277;0,717;0,958
01.06.2016;-0,519;-0,525;-0,381;-0,239;0,134;0,551;0,815
01.07.2016;-0,652;-0,653;-0,563;-0,442;-0,13;0,136;0,365
01.08.2016;-0,625;-0,646;-0,553;-0,452;-0,09;0,104;0,334
01.09.2016;-0,627;-0,631;-0,561;-0,431;-0,064;0,286;0,48
01.10.2016;-0,692;-0,695;-0,628;-0,462;-0,096;0,264;0,477
01.11.2016;-0,624;-0,594;-0,447;-0,247;0,174;0,578;0,799
01.12.2016;-0,759;-0,713;-0,468;-0,131;0,356;0,807;1,034
01.01.2017;-0,785;-0,784;-0,505;-0,296;0,185;0,691;0,93
01.02.2017;-0,736;-0,679;-0,344;-0,03;0,468;0,956;1,213
01.03.2017;-0,846;-0,792;-0,551;-0,241;0,286;0,815;1,08
01.04.2017;-0,824;-0,769;-0,505;-0,202;0,281;0,795;1,069
01.05.2017;-0,768;-0,718;-0,447;-0,142;0,323;0,816;1,099
01.06.2017;-0,756;-0,703;-0,491;-0,172;0,305;0,859;1,153
01.07.2017;-0,627;-0,557;-0,211;0,059;0,482;1,011;1,273
01.08.2017;-0,714;-0,616;-0,294;-0,004;0,425;0,966;1,236
01.09.2017;-0,763;-0,683;-0,407;-0,131;0,379;0,865;1,162
01.10.2017;-0,753;-0,644;-0,352;-0,026;0,451;0,951;1,232
01.11.2017;-0,757;-0,68;-0,421;-0,086;0,372;0,906;1,183
01.12.2017;-0,744;-0,644;-0,417;-0,11;0,302;0,805;1,053
01.01.2018;-0,659;-0,548;-0,256;0,035;0,424;0,94;1,197
01.02.2018;-0,562;-0,412;-0,045;0,281;0,657;1,077;1,292
01.03.2018;-0,557;-0,44;0,012;0,215;0,641;1,043;1,255
01.04.2018;-0,613;-0,51;-0,103;0,138;0,497;0,903;1,112
01.05.2018;-0,582;-0,48;-0,059;0,189;0,562;0,978;1,191
01.06.2018;-0,633;-0,595;-0,227;0,017;0,377;0,781;1,013
01.07.2018;-0,681;-0,611;-0,309;-0,069;0,302;0,729;0,972
01.08.2018;-0,546;-0,482;-0,172;0,062;0,493;0,85;1,084
01.09.2018;-0,603;-0,538;-0,221;-0,076;0,335;0,716;0,969
01.10.2018;-0,537;-0,428;-0,097;0,119;0,473;0,822;1,096
01.11.2018;-0,62;-0,523;-0,19;0,027;0,396;0,77;1,04
01.12.2018;-0,601;-0,539;-0,268;-0,065;0,307;0,707;0,976
01.01.2019;-0,59;-0,572;-0,305;-0,105;0,246;0,626;0,877
01.02.2019;-0,583;-0,548;-0,382;-0,206;0,166;0,5;0,774
01.03.2019;-0,529;-0,487;-0,273;-0,179;0,187;0,546;0,819
01.04.2019;-0,596;-0,606;-0,424;-0,304;-0,025;0,322;0,622
01.05.2019;-0,585;-0,581;-0,417;-0,283;0,011;0,364;0,652
01.06.2019;-0,649;-0,66;-0,567;-0,462;-0,199;0,14;0,417
01.07.2019;-0,754;-0,769;-0,683;-0,593;-0,356;-0,045;0,243
01.08.2019;-0,769;-0,802;-0,746;-0,685;-0,451;-0,191;0,086
01.09.2019;-0,924;-0,956;-0,947;-0,904;-0,7;-0,392;-0,188
01.10.2019;-0,768;-0,808;-0,774;-0,734;-0,557;-0,288;-0,081
01.11.2019;-0,652;-0,688;-0,612;-0,557;-0,377;-0,08;0,128
01.12.2019;-0,607;-0,631;-0,529;-0,462;-0,278;0,01;0,215
01.01.2020;-0,594;-0,582;-0,463;-0,376;-0,187;0,124;0,321
01.02.2020;-0,673;-0,705;-0,667;-0,605;-0,435;-0,157;0,043
01.03.2020;-0,825;-0,833;-0,817;-0,777;-0,619;-0,377;-0,192
01.04.2020;-0,653;-0,668;-0,639;-0,594;-0,469;-0,209;-0,038
01.05.2020;-0,759;-0,787;-0,759;-0,727;-0,586;-0,366;-0,199
01.06.2020;-0,641;-0,647;-0,617;-0,562;-0,392;-0,097;0,066
01.07.2020;-0,636;-0,675;-0,643;-0,606;-0,433;-0,144;0,031
01.08.2020;-0,683;-0,744;-0,73;-0,698;-0,554;-0,311;-0,123
01.09.2020;-0,66;-0,697;-0,672;-0,621;-0,411;-0,146;0,029
01.10.2020;-0,7;-0,741;-0,729;-0,685;-0,526;-0,3;-0,119
01.11.2020;-0,803;-0,841;-0,824;-0,79;-0,637;-0,423;-0,252
01.12.2020;-0,705;-0,747;-0,716;-0,676;-0,522;-0,301;-0,135
01.01.2021;-0,75;-0,765;-0,742;-0,692;-0,575;-0,374;-0,195
01.02.2021;-0,72;-0,766;-0,745;-0,677;-0,545;-0,291;-0,102
01.03.2021;-0,684;-0,712;-0,649;-0,535;-0,369;-0,073;0,106
01.04.2021;-0,688;-0,739;-0,689;-0,56;-0,365;-0,027;0,191
01.05.2021;-0,687;-0,696;-0,579;-0,459;-0,202;0,095;0,321
01.06.2021;-0,666;-0,675;-0,563;-0,441;-0,177;0,123;0,346
01.07.2021;-0,672;-0,695;-0,588;-0,474;-0,245;0,042;0,267
01.08.2021;-0,767;-0,814;-0,783;-0,711;-0,523;-0,251;-0,038
01.09.2021;-0,721;-0,759;-0,715;-0,623;-0,369;-0,146;0,075
01.10.2021;-0,703;-0,722;-0,621;-0,455;-0,218;0,014;0,22
01.11.2021;-0,603;-0,594;-0,403;-0,304;-0,103;-0,045;0,101
01.12.2021;-0,741;-0,713;-0,588;-0,516;-0,334;-0,266;-0,106
01.01.2022;-0,622;-0,605;-0,412;-0,301;-0,124;-0,001;0,191
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
